Timestamp,Capacitance (F)
0.000,1.60057e-11,3.32577e-03,0
0.158,1.60108e-11,3.67206e-03,0
0.306,1.60049e-11,3.11113e-03,0
0.454,1.60043e-11,3.03983e-03,0
0.632,1.60055e-11,3.09692e-03,0
0.780,1.60017e-11,3.05746e-03,0
0.930,1.60102e-11,3.62652e-03,0
1.105,1.60033e-11,2.91761e-03,0
1.254,1.60087e-11,3.55013e-03,0
1.431,1.60031e-11,2.96602e-03,0
1.578,1.60087e-11,3.54190e-03,0
1.728,1.60042e-11,2.68459e-03,0
1.876,1.60088e-11,3.32067e-03,0
2.023,1.60049e-11,3.09231e-03,0
2.171,1.60117e-11,3.41847e-03,0
2.349,1.60085e-11,3.56579e-03,0
2.497,1.60059e-11,3.30153e-03,0
2.645,1.60045e-11,3.24040e-03,0
2.794,1.60104e-11,3.59878e-03,0
2.971,1.60116e-11,3.54656e-03,0
3.118,1.60054e-11,2.92965e-03,0
3.296,1.60069e-11,3.14495e-03,0
3.473,1.60074e-11,3.25525e-03,0
3.623,1.60028e-11,3.36605e-03,0
3.799,1.60048e-11,3.05135e-03,0
3.977,1.60062e-11,3.44230e-03,0
4.157,1.60069e-11,3.43142e-03,0
4.330,1.60085e-11,3.73958e-03,0
4.478,1.60096e-11,3.06249e-03,0
4.630,1.60031e-11,3.14285e-03,0
4.775,1.60073e-11,2.73075e-03,0
4.952,1.60038e-11,2.97398e-03,0
5.100,1.60025e-11,2.92990e-03,0
5.249,1.60108e-11,3.42867e-03,0
5.400,1.60087e-11,3.34162e-03,0
5.574,1.60079e-11,3.51196e-03,0
5.728,1.60069e-11,3.56497e-03,0
5.899,1.60065e-11,2.97552e-03,0
6.048,1.60099e-11,3.09647e-03,0
6.196,1.60012e-11,3.23572e-03,0
6.343,1.60086e-11,3.11077e-03,0
6.521,1.60101e-11,3.60607e-03,0
6.669,1.60039e-11,3.43905e-03,0
6.817,1.60073e-11,3.19163e-03,0
6.966,1.60119e-11,3.36873e-03,0
7.143,1.60002e-11,2.93082e-03,0
7.291,1.60062e-11,2.73395e-03,0
7.438,1.60067e-11,3.34912e-03,0
7.586,1.60054e-11,3.01658e-03,0
7.764,1.60073e-11,3.53379e-03,0
7.913,1.60024e-11,2.80566e-03,0
8.090,1.60087e-11,2.97558e-03,0
8.238,1.60092e-11,2.96807e-03,0
8.387,1.60069e-11,2.79486e-03,0
8.534,1.60066e-11,3.24489e-03,0
8.681,1.60075e-11,3.20830e-03,0
8.833,1.60072e-11,3.06527e-03,0
8.978,1.60088e-11,3.47786e-03,0
9.155,1.60051e-11,2.86045e-03,0
9.304,1.60075e-11,3.54136e-03,0
9.481,1.60068e-11,3.18402e-03,0
9.659,1.60039e-11,2.93019e-03,0
9.811,1.60035e-11,3.59367e-03,0
9.989,1.60075e-11,3.33278e-03,0
